,카테고리,유사도,빈도,드라마,코미디,액션,스릴러,로맨스,호러,판타지,미스터리,애니메이션,다큐멘터리,뮤지컬,전쟁,범죄,과학,모험,서부,가족,스포츠,역사,누아르
생존,가족,0.5831968,15,0.18572123,0.2043768,0.44950503,0.18435335,0.2323115,0.33770972,0.22190535,0.23323809,0.1485799,0.3090664,0.16037004,0.567578,0.47036067,0.44417736,0.5185765,0.30841878,0.5831968,0.23078467,0.46233723,0.22379026
시작,역사,0.50161666,2,0.18165249,0.15260838,0.3694287,0.06832347,0.1633966,0.3238938,0.14579949,0.12243458,0.26766333,0.15887487,0.23057397,0.4746917,0.19005309,0.3279427,0.4483591,0.3523887,0.25675777,0.13799216,0.50161666,0.16780965
자신,가족,0.4900375,10,0.16846535,0.14125465,0.42700914,0.09189097,0.27291107,0.3400206,0.23447248,0.15666825,0.19906351,0.11983378,0.21053559,0.3618203,0.40982783,0.33884996,0.36128905,0.317292,0.4900375,0.12664166,0.37914956,0.14471254
사실,역사,0.38946393,4,0.18403305,0.10536228,0.25614753,0.1300938,0.11932883,0.27912903,0.13251781,0.14880036,0.106093116,0.16894758,0.09347535,0.33417198,0.37046364,0.3083167,0.25518495,0.28102475,0.2584975,0.09125999,0.38946393,0.26846898
전달,액션,0.34230307,1,0.09981979,0.02231915,0.34230307,0.033405237,0.08142366,0.17418242,0.085281365,0.105650626,0.2309726,0.1278215,0.12193247,0.24494311,0.29916507,0.29975384,0.27806327,0.2327158,0.26581806,0.10662544,0.33680677,0.14511976
역량,역사,0.49158537,1,0.17337452,0.13727468,0.48638994,0.13845651,0.19549036,0.35651484,0.15549378,0.13463362,0.23902968,0.21651907,0.2020564,0.3444829,0.35226268,0.48213476,0.3659116,0.24091704,0.43596616,0.17464882,0.49158537,0.20181446
처절,모험,0.40171596,1,0.331962,0.29877925,0.37644807,0.22863737,0.35133308,0.30265614,0.24876738,0.27108717,0.1017483,0.1416453,0.22677511,0.35512197,0.31569967,0.205281,0.40171596,0.14289568,0.32080454,0.061380282,0.28506002,0.29931116
환경,과학,0.6036348,4,0.2640377,0.2523635,0.43193907,0.13590825,0.16734248,0.4423041,0.26630878,0.11757252,0.35692918,0.34762627,0.13525048,0.50363976,0.47357085,0.6036348,0.50464857,0.38139054,0.5834188,0.27747563,0.5490815,0.20412815
상황,전쟁,0.52137005,17,0.27671254,0.17976004,0.39950314,0.2609695,0.20111094,0.3127133,0.14320679,0.15573774,0.19235498,0.28110832,0.051308643,0.52137005,0.46666425,0.3158603,0.39645138,0.3771941,0.44538897,0.17311686,0.43682274,0.21512575
천재,과학,0.55925936,3,0.26544034,0.30460358,0.5040635,0.3196612,0.29730305,0.53961784,0.38910788,0.34988636,0.36522457,0.24665073,0.30561757,0.4405828,0.45780155,0.55925936,0.5301117,0.27993333,0.374807,0.17065145,0.38991842,0.321166
다리,액션,0.39277843,1,0.11720005,0.08053073,0.39277843,0.08394428,0.1751397,0.23532057,0.106010176,0.04437478,0.18416299,0.15882857,0.24143192,0.36694622,0.291678,0.23701051,0.26635483,0.37116426,0.3792695,0.17851299,0.35272893,0.21321358
위기,전쟁,0.6348858,2,0.2260318,0.20779143,0.4036008,0.27231514,0.20796522,0.35323402,0.16750982,0.25531548,0.18672098,0.25326607,0.124312915,0.6348858,0.5377861,0.48312324,0.4969023,0.38545156,0.46127823,0.20558299,0.52086306,0.17861137
갯수,가족,0.37169823,1,0.14871752,0.095527366,0.348652,0.10167256,0.14680523,0.24389099,0.103503376,0.1514751,0.15042135,0.06794941,0.10704442,0.25686482,0.29142073,0.25103566,0.25983757,0.1759825,0.37169823,-0.012043127,0.3207855,0.08159548
파악,역사,0.4543217,1,0.098092884,-0.055771988,0.19502825,0.030778233,-0.022274364,0.18073888,-0.049707275,0.11370243,0.060048543,0.06505451,-0.07965879,0.26237354,0.36059877,0.27189735,0.2952549,0.27480754,0.29484832,-0.013617356,0.4543217,0.07178192
부족,역사,0.4488278,3,0.09134596,0.12425612,0.25267613,0.039202422,0.049224626,0.23128536,0.05565679,0.07458258,0.14189698,0.1300713,0.11006135,0.39952186,0.3474813,0.36382145,0.3651389,0.34031978,0.40626994,0.13282627,0.4488278,0.032041516
토양,과학,0.48980668,1,0.1589886,0.14050962,0.31828675,0.05879882,0.07431604,0.4155575,0.18134579,0.16282937,0.27976757,0.29235622,0.09853026,0.359092,0.38893476,0.48980668,0.3684425,0.33714473,0.37931314,0.10157446,0.4834538,0.21529634
감자,전쟁,0.49419284,9,0.22464181,0.26357767,0.39466125,0.15603432,0.21595868,0.34114465,0.15063658,0.25028962,0.24156937,0.28660586,0.27316535,0.49419284,0.30084,0.36445114,0.38347033,0.43176383,0.37089702,0.11032535,0.39754292,0.33718926
기존,역사,0.4300001,1,0.16291258,0.1636278,0.38839042,0.12258516,0.122255184,0.30729356,0.31267565,0.05985491,0.25791898,0.1503773,0.16614144,0.3279074,0.25526628,0.32525906,0.28854007,0.37523574,0.29880396,0.16986239,0.4300001,0.1865339
고장,역사,0.37189373,2,0.13679922,0.020806046,0.1965298,0.092053846,0.08783302,0.18007746,0.018065184,0.22154588,0.0407282,0.19413365,0.07969238,0.36250496,0.27197102,0.35563135,0.2805603,0.33067742,0.24478021,0.049807318,0.37189373,0.03792608
탐사선,애니메이션,0.3191214,1,0.25246325,0.13389884,0.13525271,0.22742939,0.17393512,0.12033499,0.20505312,0.2973904,0.3191214,0.2626894,0.21646975,0.16383687,0.08521925,0.24327956,0.22243355,0.039992616,0.20678103,0.21966547,0.13645926,0.11627157
통신,과학,0.6237647,1,0.33757794,0.22436345,0.49826676,0.20371868,0.20136158,0.3693518,0.27672413,0.21518923,0.31142864,0.22990067,0.1415127,0.5281701,0.53712857,0.6237647,0.4358854,0.4614071,0.5053698,0.34179592,0.5270078,0.21874873
소식,가족,0.4513586,2,0.1921267,0.13360831,0.35559618,0.11598437,0.14331242,0.35702673,0.21222796,0.15111053,0.23194754,0.19681516,0.19121805,0.3772193,0.34913623,0.37389445,0.37588602,0.4456457,0.4513586,0.24590574,0.4306878,0.22323404
발휘,액션,0.3475591,2,0.047688853,0.022063239,0.3475591,-0.0124732945,0.09933679,0.24420215,0.08729761,-0.008659395,0.10443369,-0.009712788,0.01607318,0.28488258,0.17864302,0.21172565,0.2579504,0.16264017,0.17024545,0.073726416,0.26300272,0.08267685
고난,역사,0.5204269,2,0.2062169,0.14120628,0.39697987,0.13236275,0.24937391,0.3173869,0.123115644,0.21428184,0.15700997,0.20603007,0.18548405,0.48528385,0.4058934,0.42285258,0.3743942,0.40655407,0.41932422,0.11656229,0.5204269,0.22869019
에어,액션,0.47671708,1,0.2662325,0.24992797,0.47671708,0.22638507,0.21553636,0.440051,0.31464544,0.24997635,0.30672362,0.23467393,0.25977725,0.33912823,0.24966675,0.3580715,0.45522776,0.4671742,0.37206984,0.26719916,0.32890347,0.33496985
도크,전쟁,0.46189386,1,0.20063335,0.23224203,0.41728494,0.14850171,0.13833757,0.39156064,0.17639749,0.30829793,0.23909512,0.19285257,0.19951743,0.46189386,0.3073326,0.3529005,0.38584498,0.41480407,0.39106172,0.13278219,0.42448133,0.15526426
극복,전쟁,0.40725106,1,0.07613949,0.13790286,0.29846144,0.13016844,0.14694521,0.3094735,0.04491341,0.05683793,0.11150792,0.17732172,0.092555724,0.40725106,0.38209638,0.2875075,0.35756013,0.15043797,0.31180748,0.006882527,0.3845028,0.08707123
자극,액션,0.4205767,2,0.14744246,0.17196561,0.4205767,0.08983356,0.22192928,0.30309325,0.12983708,0.10885214,0.18665908,0.12160931,0.17474514,0.34928063,0.3324688,0.33107987,0.36412862,0.21714497,0.3240177,0.17546749,0.27564567,0.23518662
영상,액션,0.5412195,2,0.4471662,0.3191721,0.5412195,0.22284374,0.18504186,0.37662497,0.23929538,0.2207242,0.4586826,0.50607175,0.31524912,0.41342193,0.44607344,0.4646795,0.31769174,0.34161645,0.34495008,0.34077877,0.46776566,0.28242588
극한,전쟁,0.5175205,3,0.31975383,0.310118,0.44544283,0.16386281,0.25304598,0.38347715,0.2785135,0.23444483,0.18376054,0.3492134,0.20864972,0.5175205,0.37273824,0.44184464,0.42474774,0.29688692,0.40047643,0.23628214,0.41591892,0.2973712
느낌,액션,0.41284886,3,0.22357816,0.27292842,0.41284886,0.29763892,0.35961118,0.40229467,0.28577992,0.19891255,0.18387742,0.15889625,0.17444673,0.32404354,0.32814416,0.24385157,0.3688688,0.24250706,0.3806842,0.08401157,0.26622868,0.36416578
재주,액션,0.4377918,1,0.15348662,0.2174163,0.4377918,0.09672497,0.21765196,0.3445284,0.18766424,0.10895496,0.20656136,0.12054608,0.25269645,0.29049078,0.29153907,0.32995358,0.42624515,0.22112025,0.2849662,0.13387798,0.2509131,0.19434136
전개,역사,0.51607734,2,0.25036922,0.1937102,0.44746888,0.14197545,0.2469443,0.3787816,0.2057213,0.24989949,0.32959116,0.22534,0.20614515,0.43822062,0.34910026,0.33134067,0.4623594,0.3232107,0.3376155,0.15119796,0.51607734,0.24309468
가치,역사,0.5293858,2,0.13011414,0.13201393,0.41091192,0.0718044,0.165271,0.31135887,0.18884626,0.14552099,0.16566809,0.23455441,0.0835081,0.3622197,0.4429581,0.48897433,0.49937406,0.2721118,0.49601868,0.24401839,0.5293858,0.22418272
감사,가족,0.41193378,1,0.11190988,0.08874483,0.3345028,0.019095166,0.09878458,0.2564822,0.05051927,0.17667197,0.13629866,0.1475929,0.10505228,0.28915,0.36861017,0.2718492,0.3569419,0.3066107,0.41193378,0.11155238,0.3459948,0.201369
종교,과학,0.6621468,1,0.25881734,0.26578102,0.4532286,0.17691176,0.22358224,0.47657424,0.32841268,0.2561663,0.2459226,0.31460318,0.23418203,0.52895826,0.5849687,0.6621468,0.48725107,0.41193357,0.6032049,0.36463502,0.654738,0.30502757
생각,역사,0.40358353,12,0.10770323,0.17507559,0.2932724,0.07303561,0.22052713,0.37478355,0.171236,0.13911498,0.09745817,0.13361447,0.084901415,0.28319827,0.36446726,0.31485283,0.39119843,0.12695678,0.3749292,0.08650367,0.40358353,0.18256809
요즘,호러,0.36128363,1,0.33189234,0.25565973,0.33448094,0.18674026,0.23568462,0.36128363,0.26504055,0.089366235,0.21163848,0.24318324,0.216806,0.35968518,0.29569438,0.35325313,0.23858128,0.3230332,0.34875762,0.21892385,0.3015125,0.31718633
엽기,범죄,0.5871318,1,0.40295348,0.4337079,0.5348498,0.29969284,0.35548827,0.5779575,0.35529417,0.3672593,0.324608,0.31572068,0.24258089,0.48323828,0.5871318,0.5479681,0.44528916,0.34127843,0.49446633,0.31180587,0.55143875,0.3914558
살인,범죄,0.7674426,1,0.34576192,0.3951739,0.48033872,0.34829897,0.33004382,0.54925424,0.28631204,0.524127,0.20165513,0.22278598,0.27563962,0.50729793,0.7674426,0.4640817,0.5088942,0.36184594,0.44439003,0.14335202,0.40118185,0.37753737
사건,범죄,0.65886176,1,0.28824517,0.25287625,0.37281644,0.29628435,0.21658392,0.40421835,0.16358522,0.39869988,0.1809817,0.27493426,0.16806374,0.5634847,0.65886176,0.4534943,0.38247675,0.35224178,0.45355716,0.180738,0.51258326,0.30367634
자살,범죄,0.6644942,1,0.15338516,0.21423838,0.41205293,0.16741174,0.13707872,0.41249365,0.0943486,0.26206866,0.13894817,0.17985773,0.09122822,0.45056203,0.6644942,0.42698735,0.39609188,0.26820478,0.4888206,0.17615065,0.398082,0.2181308
생명,과학,0.6358222,5,0.15804508,0.10266164,0.44900772,0.11825085,0.15486325,0.34510946,0.2351105,0.23588428,0.19542849,0.28938913,0.23349252,0.4615583,0.4216136,0.6358222,0.45717677,0.29927722,0.5088971,0.20379822,0.4756716,0.20155784
중요,역사,0.49714616,1,0.14667247,0.09196751,0.3980086,0.1374993,0.12811139,0.25303262,0.11023875,0.13333765,0.20738731,0.12350483,0.041905154,0.34580746,0.42840964,0.3819948,0.3702855,0.33566028,0.30456784,0.2001793,0.49714616,0.20662941
인식,역사,0.49699563,1,0.065253705,0.038801048,0.31474572,-0.01328638,-0.0023221038,0.23634322,0.043191846,0.0862631,0.13189267,0.15665418,-0.012616896,0.27107552,0.3582906,0.3891589,0.28307086,0.2003574,0.33553505,0.10366977,0.49699563,0.08496505
포기,전쟁,0.46164006,1,0.036899824,0.10020276,0.268547,0.005189362,0.11885207,0.26644868,0.10992294,0.010433339,0.07969945,0.08002639,0.041607123,0.46164006,0.20805782,0.19142376,0.39995298,0.2382421,0.32207465,0.023213679,0.33232895,0.16885433
노력,역사,0.47865963,3,0.1179348,0.14818704,0.39091513,0.02842504,0.14940272,0.24039197,0.041927982,0.07316379,0.109460294,0.18529622,0.13087152,0.42620993,0.3606191,0.36603215,0.4713032,0.16463277,0.42054027,0.050684396,0.47865963,0.09998993
모습,역사,0.4810304,2,0.18106842,0.11472754,0.33939338,0.060253426,0.14767957,0.23877588,0.076718435,0.09382235,0.18612951,0.25987792,0.13115585,0.37803036,0.30497545,0.22770838,0.29102063,0.30653766,0.320001,0.1064691,0.4810304,0.21089463
경시,과학,0.5693241,1,0.09786281,0.17920604,0.39256123,0.13628715,0.071877,0.48408693,0.2048779,0.15827751,0.13064194,0.09952496,0.00515314,0.4752178,0.4396688,0.5693241,0.3571766,0.33700278,0.37685555,0.27107507,0.41902632,0.0765651
풍토,역사,0.5038506,1,0.18268912,0.25609046,0.3204257,0.12392849,0.16822115,0.48625103,0.2143285,0.15979569,0.27575135,0.3062624,0.12904803,0.318924,0.41684684,0.4105024,0.40425885,0.36944467,0.43511695,0.22620083,0.5038506,0.25442398
만연,범죄,0.65263027,1,0.15505365,0.22789542,0.28467035,0.18008849,0.11705439,0.38056484,0.14161769,0.18860398,0.10691025,0.10844354,0.040803134,0.41826174,0.65263027,0.341771,0.3726807,0.25717646,0.32987875,0.09318464,0.41978124,0.1698715
의리,가족,0.4216133,3,0.24799196,0.2144003,0.3676595,0.07783547,0.29835606,0.30284774,0.1731025,0.16772346,0.0355523,0.16243014,0.15343063,0.37263682,0.3268873,0.27533278,0.2821184,0.16045101,0.4216133,0.1495446,0.26193142,0.30277625
동료,가족,0.5682897,10,0.1957698,0.19803406,0.4401774,0.17423597,0.19706342,0.31645346,0.20935112,0.1830551,0.16833134,0.25942722,0.16749756,0.2993557,0.41582665,0.39819494,0.39703542,0.34152254,0.5682897,0.2523588,0.38336787,0.22965308
만장일치,코미디,0.33974797,1,0.16676211,0.33974797,0.1810728,0.24409898,0.26370272,0.09872867,0.20401174,0.21005398,0.109446555,0.14593014,0.1854178,0.07721988,0.079614185,0.10157202,0.1107924,0.048475973,0.1191403,0.14455114,0.08802671,0.22461757
동의,역사,0.3792477,1,0.07367934,0.13095717,0.3055427,0.094264954,0.19738959,0.2791904,0.17598322,-0.026025292,0.16846363,0.07700165,0.093137994,0.3301781,0.307837,0.19923986,0.33563516,0.28180602,0.374487,0.012953723,0.3792477,0.32353258
마크,액션,0.4806716,1,0.15408176,0.15587026,0.4806716,0.16647874,0.094581194,0.4199852,0.20572305,0.19688156,0.26132137,0.2085665,0.20681351,0.32518947,0.32075354,0.37286246,0.3666002,0.33266202,0.36550632,0.13888176,0.38614947,0.2838914
확신,가족,0.3234778,2,0.016546551,0.03055464,0.21798493,0.031622805,0.16742565,0.20746158,0.13047493,0.09783924,-0.086605504,0.0638563,0.0138929915,0.22325712,0.31026435,0.2125645,0.30957168,0.17998703,0.3234778,0.037305668,0.25207207,0.121652424
목숨,전쟁,0.45969495,6,0.19554923,0.18702072,0.44758424,0.12942798,0.20130727,0.38905436,0.112899594,0.1966913,0.119080104,0.2491809,0.23638904,0.45969495,0.4232261,0.3339252,0.37817618,0.22948049,0.42974782,0.04001441,0.40072525,0.24435988
담보,범죄,0.4643966,1,0.15799265,0.12132936,0.41232434,0.13963674,0.19753559,0.27905566,0.12152238,0.11726872,0.11657693,0.13650084,0.12839149,0.3417549,0.4643966,0.1828825,0.39377293,0.28692055,0.35559067,0.08768521,0.3103905,0.2675016
서구,서부,0.5568185,1,0.12162265,0.20364799,0.37360752,0.26336905,0.24734376,0.4853997,0.39033535,0.11659718,0.19692457,0.17472126,0.2959928,0.43049258,0.35797206,0.39681152,0.32218528,0.5568185,0.44254145,0.17822677,0.47527096,0.288483
개인주의,누아르,0.3442097,1,0.14324398,0.20691732,0.14406955,0.24489869,0.31822258,0.22484338,0.31330642,0.23688422,0.013302104,0.08356491,0.13621001,0.17924148,0.2730195,0.17242648,0.1497427,0.082710914,0.28459096,0.20951086,0.15112488,0.3442097
이기주의,가족,0.35649377,2,0.2039137,0.32142392,0.12077805,0.21106882,0.29768085,0.19904737,0.19580312,0.252978,0.13829221,0.15017395,0.06364868,0.20440093,0.3187338,0.17682669,0.1356805,0.15061137,0.35649377,0.21356766,0.2229007,0.20561776
착각,범죄,0.43306422,1,0.17630431,0.22468184,0.24226622,0.17644675,0.237531,0.3578461,0.1955348,0.23978359,0.07301081,0.15779409,0.07434171,0.27597916,0.43306422,0.35911903,0.32094842,0.13775326,0.29352748,0.12437366,0.30634797,0.14642555
나라,역사,0.5414164,2,0.28061408,0.13595933,0.28584033,0.07605471,0.23809645,0.31322548,0.21057048,0.101726286,0.27014548,0.26244438,0.19440188,0.48615214,0.32847372,0.39598662,0.36350223,0.42089605,0.4517187,0.17670284,0.5414164,0.24992663
문화,역사,0.7432901,1,0.40554592,0.35358432,0.4341428,0.19159214,0.2947853,0.49449646,0.35893175,0.23651946,0.36493844,0.45057428,0.35220382,0.5148301,0.49438503,0.698876,0.47752964,0.44583002,0.6184729,0.47741506,0.7432901,0.33030295
수준,액션,0.49925858,2,0.21189098,0.24245481,0.49925858,0.15861586,0.20678963,0.3814239,0.29261944,0.14969741,0.26644114,0.18110454,0.15554814,0.37966707,0.40536124,0.46248963,0.39363796,0.24724925,0.3974205,0.16774227,0.369411,0.22021256
부하,액션,0.4191909,3,0.12687732,0.13620788,0.4191909,0.046229504,0.081826895,0.28023088,0.03505677,0.10592476,0.11655172,0.08136985,0.018782834,0.3010308,0.34665698,0.22083431,0.31142834,0.20088035,0.4098325,0.049191397,0.20893174,0.19703333
수단,범죄,0.5902713,1,0.16652504,0.1038433,0.4512475,0.21654023,0.16558947,0.23214453,0.091793105,0.12073773,0.14111228,0.14110751,0.08256143,0.48443338,0.5902713,0.42639852,0.39872068,0.4483478,0.39578593,0.18843402,0.42841044,0.2046771
방법,역사,0.52363807,8,0.16670379,0.18785939,0.4922168,0.11943532,0.18190438,0.39775836,0.12899877,0.13595334,0.24643686,0.2196921,0.18101114,0.35752317,0.44776854,0.41879404,0.4625585,0.2354826,0.347588,0.14453778,0.52363807,0.21677902
동원,범죄,0.4768132,1,0.1703566,0.20234045,0.35774904,0.119688496,0.08806125,0.2966888,0.0065010926,0.11876547,0.036808126,0.22998306,0.22802976,0.45461348,0.4768132,0.27438122,0.24592316,0.26057926,0.3847568,0.0863715,0.3786764,0.17448458
과거,역사,0.5163887,2,0.31223205,0.14058821,0.2465358,0.1482759,0.11988176,0.20748174,0.15852886,0.15399198,0.12426246,0.22774616,0.16206148,0.4559393,0.3733404,0.28759593,0.1954209,0.3886596,0.24311092,0.13047035,0.5163887,0.2485043
교전,전쟁,0.5936727,1,0.1096207,0.05282545,0.47974268,0.238983,0.23766953,0.29251844,0.16402352,0.20963,0.13097061,0.140592,0.0010085462,0.5936727,0.4134088,0.37528786,0.44922954,0.4169266,0.36705136,0.019950282,0.37377635,0.21741034
최고,액션,0.49376902,2,0.2282946,0.20037603,0.49376902,0.2298746,0.26129326,0.30447096,0.2559042,0.16673714,0.16067408,0.15303995,0.17783158,0.36863512,0.3797356,0.4172725,0.3512286,0.34194914,0.37935203,0.26672292,0.37743607,0.2511311
